2,25,972,57,Win [1],2,,1,0,0,0,1,0,0,0,2,Shooter Type [0],Select Position [0],0,0,Defense [1],nothing [3],,,poor [4]
15,9,972,55,Loss [2],0,,1,0,2,0,2,0,0,0,0,Shooter Type [0],Select Position [0],0,0,Select Strengths,Select End Game [0],,deadbot,fair [3]
25,37,972,125,Win [1],4,2,0,0,0,0,0,0,0,2,0,Only Low [3],Defense 4 [4],2,2,Offense [2],challenge [1],,,fair [3]
16,14,972,,Select Match Result [0],0,,0,0,0,1,0,0,0,0,0,Both, mixed [6],Defense 1 [1],0,0,Defense [1],nothing [3],,Unclear shooter type,poor [4]
