id,match_id,team_name_id,team_points,win_loss,ranking_points,auto_points,low_bar,portcullis,cheval_de_frise,moat,ramparts,drawbridge,sallyport,rockwall,rough_terrain,shooter_type,position,shots_made,shots_taken,defense_or_offense,end_game,penalties,speed_stability_notes,driver_skill
1,2,852,80,Win [1],0,10,0,0,0,2,0,0,2,0,0,Only High [2],Defense 4 [4],1,3,Offense [2],nothing [3],,on 254's team,Driver's Skill [0]
2,3,846,74,Loss [2],0,2,3,0,2,0,0,0,0,0,0,Only High [2],Defense 1 [1],2,3,Offense [2],challenge [1],,,fair [3]
3,4,5940,76,Win [1],3,10,0,0,0,0,0,0,1,2,0,Only Low [3],Defense 2 [2],6,7,Offense [2],challenge [1],,,good [2]
4,5,1351,68,Loss [2],1,10,0,0,2,0,0,0,1,0,0,Only Low [3],Defense 5 [5],2,2,Offense [2],challenge [1],,tried to shot high,fair [3]
5,6,6059,,Select Match Result [0],0,0,2,0,0,0,0,0,0,0,0,None [1],Defense 1 [1],0,0,Both [3],challenge [1],,,fair [3]
6,7,5924,,Select Match Result [0],0,10,2,0,2,0,0,2,1,2,0,Only Low [3],Defense 4 [4],2,2,Offense [2],nothing [3],,very nice defense bot,very good [1]
7,8,4765,73,Win [1],3,10,1,0,0,0,3,2,0,2,0,Only Low [3],Defense 3 [3],0,0,Offense [2],challenge [1],,,very good [1]
8,9,4904,84,Win [1],3,10,2,0,0,0,1,0,1,0,0,Both, mainly low [5],Defense 3 [3],2,3,Offense [2],challenge [1],,,very good [1]
9,10,604,57,Loss [2],0,10,2,0,0,0,2,0,1,2,0,None [1],Defense 5 [5],0,0,Offense [2],challenge [1],,,very good [1]
10,11,115,111,Win [1],3,2,0,0,0,0,0,0,0,0,0,Both, mixed [6],Defense 5 [5],0,2,Offense [2],nothing [3],,team with 971,fair [3]
11,12,6039,72,Win [1],2,10,0,0,0,0,2,0,1,1,0,None [1],Defense 5 [5],0,0,Both [3],challenge [1],,,fair [3]
12,15,2643,47,Loss [2],0,0,0,0,0,0,0,0,0,0,0,Shooter Type [0],Defense 3 [3],0,0,Offense [2],nothing [3],,dead, stayed mid all game but could move,horrendous [5]
13,17,776,37,Loss [2],0,,0,0,0,0,0,0,0,0,0,Only High [2],Spybot [6],0,0,Select Strengths,Select End Game [0],,dead bot,Driver's Skill [0]
14,32,115,64,Win [1],3,,0,0,0,0,0,0,0,0,0,Both, mainly low [5],Select Position [0],1,1,Select Strengths,nothing [3],,,poor [4]
15,33,4904,87,Win [1],3,,0,0,0,0,1,0,0,0,0,Only Low [3],Select Position [0],1,2,Offense [2],challenge [1],,Acted as a feeder for another team,poor [4]
